English	French	Spanish	German
Food: Where European inflation slipped up	L'inflation, en Europe, a dérapé sur l'alimentation	La inflación europea se deslizó en los alimentos	Lebensmittel schuld an europäischer Inflation
The skyward zoom in food prices is the dominant force behind the speed up in eurozone inflation.	L'inflation accélérée, mesurée dans la zone euro, est due principalement à l'augmentation rapide des prix de l'alimentation.	La inflación acelerada, registrada en la zona de euro, se debe en primer lugar al vertiginoso crecimiento del precio de los productos alimenticios.	Hauptgrund für den in der Eurozone gemessenen Anstieg der Inflation seien die rasant steigenden Lebensmittelpreise.
November price hikes were higher than expected in the 13 eurozone countries, with October's 2.6 percent yr/yr inflation rate followed by 3.1 percent in November, the EU's Luxembourg-based statistical office reported.	En novembre, l'augmentation des prix, dans les 13 pays de la zone euro, a été plus importante par rapport aux prévisions, après un taux d'inflation de 2,6 pour cent en octobre, une inflation annuelle de 3,1 pour cent a été enregistrée, a indiqué le bureau des statistiques de la Communauté Européenne situé à Luxembourg.	El aumento de los precios en el mes de noviembre ha sido superior a lo esperado en los 13 países de la zona de euro, registrando - después del 2.6 por ciento del mes de octubre - una inflación anual del 3,1 por ciento - anunció la Oficina de Estadística de la Unión con sede en Luxemburgo.	In den 13 Ländern der Eurozone war die Teuerung im November höher als erwartet - nach den 2.6 Prozent im Oktober wurde eine jährliche Inflationsrate von 3.1 Prozent registriert, wie das Statistische Amt der EU in Luxemburg berichtet.
Official forecasts predicted just 3 percent, Bloomberg said.	Les prévisions officielles n'ont indiqué que 3 pour cent, a communiqué Bloomberg.	Las previsiones oficiales sólo daban como probable un 3 por ciento - anunció el Bloomberg.	Offizielle Prognosen sind von nur 3 Prozent ausgegangen, meldete Bloomberg.
As opposed to the US, UK, and Canadian central banks, the European Central Bank (ECB) did not cut interest rates, arguing that a rate drop combined with rising raw material prices and declining unemployment would trigger an inflationary spiral.	Contrairement aux banques centrales américaine, britannique et canadienne, la Banque centrale européenne (BCE) n'a pas baissé le taux d'intérêt directeur en disant que la diminution des intérêts, avec la croissance des prix des matières premières et la baisse du taux de chômage, conduirait à la génération d'une spirale inflationniste.	El Banco Central Europeo (BCE), a diferencia de los bancos emisores norteamericano, británico y canadiense, no cortó el interés básico, so pretexto de que la disminución, junto con los precios en aumento de las materias primas y la reducción del paro forzoso, provocarían una espiral de inflación.	Im Gegensatz zur amerikanischen, britischen, und kanadischen Notenbank hat die Europäische Zentralbank (EZB) den Leitzsins nicht gesenkt. Ihrem Ermessen nach würden die Zinssenkung die steigenden Rohstoffpreise und der leichte Rückgang der Arbeitslosigkeit die Entstehung einer Inflationsspirale begünstigen.
The ECB wants to hold inflation to under two percent, or somewhere in that vicinity.	La BCE souhaiterait maintenir le taux d'inflation au-dessous mais proche de deux pour cent.	El BCE quiere mantener la tasa de inflación por debajo, pero al menos cerca del dos por ciento.	Die EZB ist bestrebt, die Inflationsrate unter zwei Prozent, oder zumindest knapp an der zwei-Prozent-Marke zu halten.
According to one analyst, ECB has been caught in a Catch-22: It needs to "talk down" inflation, to keep from having to take action to push it down later in the game.	Selon un analyste, c'est le Catch 22 pour la BCE: "il faut dissuader" l'inflation afin de ne plus avoir à intervenir sur ce sujet ultérieurement.	Según un analista, el BCE se encuentra en la trampa 22: "hay que negociar" sobre la inflación para que posteriormente no tenga que intervenir en este tema.	Laut einem Analysten befinde sich die EZB in der Zwickmühle: Man müsse die Inflation "absprechen", um späteren Handlungsbedarf auszuschließen.
Germany's November inflation rate of 3.3 percent counts as a record; in Spain the rate shot up to 4.1 percent from an earlier 3.6.	En Allemagne, le taux d'inflation de 3,3 pour cent est un record au cours de ces douze dernières années et en Espagne, il est remonté de 3,6 à 4,1.	La inflación del 3.3 por ciento, registrada en Alemania, batió el récord de doce años; en tanto que en España aumentó del 3,6 al 4,1 por ciento.	Mit 3,3 Prozent erreichte die Inflationsrate im November in Deutschland ein zwölf-Jahres-Rekordhoch; in Spanien kletterte die Rate von 3,6 auf 4,1 Prozent.
Soaring food and energy prices sent eurozone inflation into the stratosphere.	L'inflation dans la zone euro a décollé à cause de l'augmentation rapide des prix de l'alimentation et de l'énergie.	La inflación se disparó en la zona de euro a consecuencia de los galopantes precios alimenticios y energéticos.	Verantwortlich für den Anstieg der Inflation in der Eurozone seien die gestiegenen Lebensmittel- und Energiepreise.
Wheat futures were up by 88 percent and soybean prices were at their highest since 1973.	Les cotes du marché à terme des céréales ont augmenté de 88 pour cent et le cours du soja a atteint également sa valeur la plus élevée depuis 1973.	Las cotizaciones a término del trigo aumentaron en un 88 por ciento y asimismo la cotización de la soja alcanzó su máximo nivel desde 1973.	Die MATIF-Weizennotierungen stiegen um 88 Prozent, und der Kurs für Sojabohnen erreichte ebenfalls ein Rekordhoch seit 1973.
